"System.Windows.Controls.TextBlock","[0] [0x0]
GPU 0 - GeForce GTX 1080
stereo_matching_cuda.exe [24984]"
"MAX_THREADS_PER_BLOCK","1024"
"MAX_BLOCK_DIM_X","1024"
"MAX_BLOCK_DIM_Y","1024"
"MAX_BLOCK_DIM_Z","64"
"MAX_GRID_DIM_X","2147483647"
"MAX_GRID_DIM_Y","65535"
"MAX_GRID_DIM_Z","65535"
"MAX_SHARED_MEMORY_PER_BLOCK","49152"
"TOTAL_CONSTANT_MEMORY","65536"
"WARP_SIZE","32"
"MAX_PITCH","2147483647"
"MAX_REGISTERS_PER_BLOCK","65536"
"CLOCK_RATE","1809500"
"TEXTURE_ALIGNMENT","512"
"GPU_OVERLAP","1"
"MULTIPROCESSOR_COUNT","20"
"KERNEL_EXEC_TIMEOUT","1"
"INTEGRATED","0"
"CAN_MAP_HOST_MEMORY","1"
"COMPUTE_MODE","0"
"MAXIMUM_TEXTURE1D_WIDTH","131072"
"MAXIMUM_TEXTURE2D_WIDTH","131072"
"MAXIMUM_TEXTURE2D_HEIGHT","65536"
"MAXIMUM_TEXTURE3D_WIDTH","16384"
"MAXIMUM_TEXTURE3D_HEIGHT","16384"
"MAXIMUM_TEXTURE3D_DEPTH","16384"
"MAXIMUM_TEXTURE2D_LAYERED_WIDTH","32768"
"MAXIMUM_TEXTURE2D_LAYERED_HEIGHT","32768"
"MAXIMUM_TEXTURE2D_LAYERED_LAYERS","2048"
"SURFACE_ALIGNMENT","512"
"CONCURRENT_KERNELS","1"
"ECC_ENABLED","0"
"PCI_BUS_ID","1"
"PCI_DEVICE_ID","0"
"TCC_DRIVER","0"
"MEMORY_CLOCK_RATE","5005000"
"GLOBAL_MEMORY_BUS_WIDTH","256"
"L2_CACHE_SIZE","2097152"
"MAX_THREADS_PER_MULTIPROCESSOR","2048"
"ASYNC_ENGINE_COUNT","2"
"UNIFIED_ADDRESSING","1"
"MAXIMUM_TEXTURE1D_LAYERED_WIDTH","32768"
"MAXIMUM_TEXTURE1D_LAYERED_LAYERS","2048"
"CAN_TEX2D_GATHER","1"
"MAXIMUM_TEXTURE2D_GATHER_WIDTH","32768"
"MAXIMUM_TEXTURE2D_GATHER_HEIGHT","32768"
"MAXIMUM_TEXTURE3D_WIDTH_ALTERNATE","8192"
"MAXIMUM_TEXTURE3D_HEIGHT_ALTERNATE","8192"
"MAXIMUM_TEXTURE3D_DEPTH_ALTERNATE","32768"
"PCI_DOMAIN_ID","0"
"TEXTURE_PITCH_ALIGNMENT","32"
"MAXIMUM_TEXTURECUBEMAP_WIDTH","32768"
"MAXIMUM_TEXTURECUBEMAP_LAYERED_WIDTH","32768"
"MAXIMUM_TEXTURECUBEMAP_LAYERED_LAYERS","2046"
"MAXIMUM_SURFACE1D_WIDTH","32768"
"MAXIMUM_SURFACE2D_WIDTH","131072"
"MAXIMUM_SURFACE2D_HEIGHT","65536"
"MAXIMUM_SURFACE3D_WIDTH","16384"
"MAXIMUM_SURFACE3D_HEIGHT","16384"
"MAXIMUM_SURFACE3D_DEPTH","16384"
"MAXIMUM_SURFACE1D_LAYERED_WIDTH","32768"
"MAXIMUM_SURFACE1D_LAYERED_LAYERS","2048"
"MAXIMUM_SURFACE2D_LAYERED_WIDTH","32768"
"MAXIMUM_SURFACE2D_LAYERED_HEIGHT","32768"
"MAXIMUM_SURFACE2D_LAYERED_LAYERS","2048"
"MAXIMUM_SURFACECUBEMAP_WIDTH","32768"
"MAXIMUM_SURFACECUBEMAP_LAYERED_WIDTH","32768"
"MAXIMUM_SURFACECUBEMAP_LAYERED_LAYERS","2046"
"MAXIMUM_TEXTURE1D_LINEAR_WIDTH","134217728"
"MAXIMUM_TEXTURE2D_LINEAR_WIDTH","131072"
"MAXIMUM_TEXTURE2D_LINEAR_HEIGHT","65000"
"MAXIMUM_TEXTURE2D_LINEAR_PITCH","2097120"
"MAXIMUM_TEXTURE2D_MIPMAPPED_WIDTH","32768"
"MAXIMUM_TEXTURE2D_MIPMAPPED_HEIGHT","32768"
"MAXIMUM_TEXTURE1D_MIPMAPPED_WIDTH","16384"
"STREAM_PRIORITIES_SUPPORTED","1"
"GLOBAL_L1_CACHE_SUPPORTED","1"
"LOCAL_L1_CACHE_SUPPORTED","1"
"MAX_SHARED_MEMORY_PER_MULTIPROCESSOR","98304"
"MAX_REGISTERS_PER_MULTIPROCESSOR","65536"
"MANAGED_MEMORY","1"
"MULTI_GPU_BOARD","0"
"MULTI_GPU_BOARD_GROUP_ID","0"
"HOST_NATIVE_ATOMIC_SUPPORTED","0"
"SINGLE_TO_DOUBLE_PRECISION_PERF_RATIO","32"
"PAGEABLE_MEMORY_ACCESS","0"
"CONCURRENT_MANAGED_ACCESS","0"
"COMPUTE_PREEMPTION_SUPPORTED","0"
"CAN_USE_HOST_POINTER_FOR_REGISTERED_MEM","0"
"CAN_USE_STREAM_MEM_OPS","0"
"CAN_USE_64_BIT_STREAM_MEM_OPS","0"
"CAN_USE_STREAM_WAIT_VALUE_NOR","0"
"COOPERATIVE_LAUNCH","0"
"COOPERATIVE_MULTI_DEVICE_LAUNCH","0"
"DISPLAY_NAME","GeForce GTX 1080"
"COMPUTE_CAPABILITY_MAJOR","6"
"COMPUTE_CAPABILITY_MINOR","1"
"TOTAL_MEMORY","8589934592"
"RAM_TYPE","16"
"RAM_LOCATION","1"
"GPU_PCI_DEVICE_ID","461377758"
"GPU_PCI_SUB_SYSTEM_ID","2242515011"
"GPU_PCI_REVISION_ID","161"
"GPU_PCI_EXT_DEVICE_ID","7040"
"GPU_PCI_EXT_GEN","2"
"GPU_PCI_EXT_GPU_GEN","2"
"GPU_PCI_EXT_GPU_LINK_RATE","8000"
"GPU_PCI_EXT_GPU_LINK_WIDTH","16"
"GPU_PCI_EXT_DOWNSTREAM_LINK_RATE","8000"
"GPU_PCI_EXT_DOWNSTREAM_LINK_WIDTH","16"
